GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Teste,ModeloDAO,UsuariosDAOImp,484,0,16,0,80,0,14,0,6,0
Teste,ModeloDAO,EmprestimoDAOImp,725,0,12,0,154,0,14,0,8,0
Teste,ModeloDAO,AdministradoresDAOImp,483,0,6,0,82,0,10,0,7,0
Teste,ModeloDAO,ObraDAOImp,815,0,26,0,116,0,28,0,7,0
Teste,Utilitario,Conexao,63,0,6,0,25,0,8,0,5,0
Teste,Controller,ControllerUsuario,76,0,0,0,25,0,11,0,11,0
Teste,Controller,ControllerAdmin,82,0,0,0,26,0,12,0,12,0
Teste,Controller,ControllerEmprestimo,88,0,0,0,26,0,13,0,13,0
Teste,Controller,ControllerPrincipal,30,0,0,0,9,0,4,0,4,0
Teste,Controller,ControllerObra,79,0,0,0,26,0,12,0,12,0
Teste,View,TelaLogin,571,0,6,0,126,0,11,0,8,0
Teste,View,TelaEditarA,795,0,10,0,189,0,13,0,8,0
Teste,View,TelaDivida.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaDivida.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarO.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarO.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarO.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarO.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarO.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarO.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarO.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarO.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarO.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaMenu.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaMenu.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaMenu.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaMenu.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaMenu.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarAdmin.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarAdmin.new MouseMotionAdapter() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarAdmin.new DefaultTableModel() {...},90,0,0,0,5,0,3,0,3,0
Teste,View,TelaEditarAdmin.new KeyAdapter() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarAdmin.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarAdmin.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaEditarAdmin.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaAddObra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaAddObra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaAddObra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaAddObra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaAddObra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaAddObra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaAddObra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaAddObra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaAddObra,1549,0,16,0,350,0,21,0,13,0
Teste,View,TelaAddObra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaMenu.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaMenu.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaMenu.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaMenu.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaAddEmprestimo,1169,0,52,0,195,0,38,0,12,0
Teste,View,TelaMenu.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaMenu.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaMenu.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaMenu.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaMenu.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaMenu.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Teste,View,TelaMenu.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
